依赖名,版本,许可证,类别,致谢位置,上游 URL
tokio,1,MIT,backend,NOTICE,https://github.com/tokio-rs/tokio
tokio-util,0.7,MIT,backend,NOTICE,https://github.com/tokio-rs/tokio
axum,0.8,MIT,backend,NOTICE,https://github.com/tokio-rs/axum
tower,0.5,MIT,backend,NOTICE,https://github.com/tower-rs/tower
tower-http,0.6,MIT,backend,NOTICE,https://github.com/tower-rs/tower-http
http,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/hyperium/http
http-body-util,0.1,MIT,backend,NOTICE,https://github.com/hyperium/http-body
futures,0.3,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/futures-rs
futures-util,0.3,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/futures-rs
serde,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/serde-rs/serde
serde_json,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/serde-rs/json
serde_yaml,0.9,MIT,backend,NOTICE,https://github.com/dtolnay/serde-yaml
jsonschema,0.47,MIT,backend,NOTICE,https://github.com/Stranger6667/jsonschema-rs
ts-rs,12.0.1,MIT,backend,NOTICE,https://github.com/Aleph-Alpha/ts-rs
encoding_rs,0.8,MIT OR Apache-2.0,backend,NOTICE,https://github.com/hsivonen/encoding_rs
async-trait,0.1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/dtolnay/async-trait
thiserror,2,MIT OR Apache-2.0,backend,NOTICE,https://github.com/dtolnay/thiserror
anyhow,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/dtolnay/anyhow
tracing,0.1,MIT,backend,NOTICE,https://github.com/tokio-rs/tracing
tracing-appender,0.2,MIT,backend,NOTICE,https://github.com/tokio-rs/tracing
tracing-subscriber,0.3,MIT,backend,NOTICE,https://github.com/tokio-rs/tracing
log,0.4,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/log
env_logger,0.11,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-cli/env_logger
clap,4,MIT OR Apache-2.0,backend,NOTICE,https://github.com/clap-rs/clap
sqlx,0.8,MIT OR Apache-2.0,backend,NOTICE,https://github.com/launchbadge/sqlx
rusqlite,0.32,MIT,backend,NOTICE,https://github.com/rusqlite/rusqlite
uuid,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/uuid-rs/uuid
chrono,0.4,MIT OR Apache-2.0,backend,NOTICE,https://github.com/chronotope/chrono
chrono-tz,0.10,MIT OR Apache-2.0,backend,NOTICE,https://github.com/chronotope/chrono-tz
regex,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/regex
dashmap,6,MIT OR Apache-2.0,backend,NOTICE,https://github.com/xacrimon/dashmap
lru,0.18,MIT,backend,NOTICE,https://github.com/jeromefroe/lru-rs
url,2,MIT OR Apache-2.0,backend,NOTICE,https://github.com/servo/rust-url
reqwest,0.12,MIT OR Apache-2.0,backend,NOTICE,https://github.com/seanmonstar/reqwest
tokio-tungstenite,0.26,MIT,backend,NOTICE,https://github.com/snapview/tokio-tungstenite
base64,0.22,MIT OR Apache-2.0,backend,NOTICE,https://github.com/marshallpierce/rust-base64
hex,0.4,MIT OR Apache-2.0,backend,NOTICE,https://github.com/KokaKiwi/rust-hex
getrandom,0.2,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-random/getrandom
libc,0.2,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/libc
dirs,6,MIT OR Apache-2.0,backend,NOTICE,https://github.com/soc/dirs-rs
dirs-next,2.0,MIT OR Apache-2.0,backend,NOTICE,https://github.com/xdg-rs/dirs-next
walkdir,2,Unlicense OR MIT,backend,NOTICE,https://github.com/BurntSushi/walkdir
glob,0.3,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/glob
ignore,0.4,CC0-1.0 OR MIT,backend,NOTICE,https://github.com/BurntSushi/ripgrep
notify,8,CC0-1.0,backend,NOTICE,https://github.com/notify-rs/notify
include_dir,0.7,Apache-2.0,backend,NOTICE,https://github.com/Michael-F-Bryan/include_dir
rust-embed,8,MIT,backend,NOTICE,https://github.com/pyros2097/rust-embed
fs2,0.4,MIT OR Apache-2.0,backend,NOTICE,https://github.com/danburkert/fs2-rs
zip,2,MIT,backend,NOTICE,https://github.com/zip-rs/zip2
flate2,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/flate2
tar,0.4,MIT OR Apache-2.0,backend,NOTICE,https://github.com/alexcrichton/tar-rs
zstd,0.13,BSD-3-Clause,backend,NOTICE,https://github.com/gyscos/zstd-rs
git2,0.20,MIT OR Apache-2.0,backend,NOTICE,https://github.com/rust-lang/git2-rs
mime_guess,2,MIT,backend,NOTICE,https://github.com/abonander/mime_guess
similar,2,Apache-2.0,backend,NOTICE,https://github.com/mitsuhiko/similar
prost,0.13,Apache-2.0,backend,NOTICE,https://github.com/tokio-rs/prost
semver,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/dtolnay/semver
sys-locale,0.3,MIT OR Apache-2.0,backend,NOTICE,https://github.com/1Password/sys-locale
unicode-width,0.2.2,MIT OR Apache-2.0,backend,NOTICE,https://github.com/unicode-rs/unicode-width
crossterm,0.29,MIT,backend,NOTICE,https://github.com/crossterm-rs/crossterm
is-terminal,0.4,MIT,backend,NOTICE,https://github.com/sunfishcode/is-terminal
image,0.25,MIT OR Apache-2.0,backend,NOTICE,https://github.com/image-rs/image
htmd,0.5,MIT,backend,NOTICE,https://github.com/Harness/htmd
oauth2,5.0.0-rc.1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/ramosbugs/oauth2-rs
jsonwebtoken,10,MIT,backend,NOTICE,https://github.com/Keats/jsonwebtoken
bcrypt,0.17,MIT,backend,NOTICE,https://github.com/Keats/rust-bcrypt
sha1,0.10,MIT OR Apache-2.0,backend,NOTICE,https://github.com/RustCrypto/hashes
sha2,0.10,MIT OR Apache-2.0,backend,NOTICE,https://github.com/RustCrypto/hashes
hmac,0.12,MIT OR Apache-2.0,backend,NOTICE,https://github.com/RustCrypto/MACs
md-5,0.10,MIT OR Apache-2.0,backend,NOTICE,https://github.com/RustCrypto/hashes
aes,0.8,MIT OR Apache-2.0,backend,NOTICE,https://github.com/RustCrypto/block-ciphers
aes-gcm,0.10,MIT OR Apache-2.0,backend,crates/sparkfox/sparkfox-e2ee/NOTICE,https://github.com/RustCrypto/AEADs
ed25519-dalek,2,BSD-3-Clause,backend,NOTICE,https://github.com/dalek-cryptography/ed25519-dalek
psl,2,Apache-2.0,backend,NOTICE,https://github.com/addr-rs/psl
rustls,0.23,Apache-2.0 OR MIT,backend,NOTICE,https://github.com/rustls/rustls
rustls-native-certs,0.8,Apache-2.0 OR MIT,backend,NOTICE,https://github.com/rustls/rustls-native-certs
nostr,0.37,MIT,backend,NOTICE,https://github.com/rust-nostr/nostr
calamine,0.26,MIT,backend,crates/sparkfox/sparkfox-parser/NOTICE,https://github.com/tafia/calamine
rust_xlsxwriter,0.82,MIT OR Apache-2.0,backend,NOTICE,https://github.com/jmcnamara/rust_xlsxwriter
cron,0.15,Apache-2.0 OR MIT,backend,NOTICE,https://github.com/zslayton/cron
portable-pty,0.8,MIT,backend,NOTICE,https://github.com/wez/wezterm
open,5,MIT,backend,NOTICE,https://github.com/Byron/open-rs
which,7,MIT,backend,NOTICE,https://github.com/harryfei/which-rs
aws-config,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/smithy-lang/smithy-rs
aws-sdk-bedrock,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/awslabs/aws-sdk-rust
aws-sigv4,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/awslabs/aws-sdk-rust
aws-credential-types,1,MIT OR Apache-2.0,backend,NOTICE,https://github.com/awslabs/aws-sdk-rust
toml,0.8,MIT OR Apache-2.0,backend,NOTICE,https://github.com/toml-rs/toml
toml_edit,0.25,MIT OR Apache-2.0,backend,NOTICE,https://github.com/toml-rs/toml
automerge,0.10,MIT,sparkfox,crates/sparkfox/sparkfox-crdt/NOTICE,https://github.com/automerge/automerge-rs
x25519-dalek,2,BSD-3-Clause,sparkfox,crates/sparkfox/sparkfox-e2ee/NOTICE,https://github.com/dalek-cryptography/x25519-dalek
petgraph,0.6,MIT OR Apache-2.0,sparkfox,crates/sparkfox/sparkfox-graph/NOTICE,https://github.com/petgraph/petgraph
hnsw_rs,0.3,MIT,sparkfox,crates/sparkfox/sparkfox-knowledge/NOTICE,https://github.com/jean-pierreBoth/hnswlib-rs
jieba-rs,0.7,MIT,sparkfox,crates/sparkfox/sparkfox-knowledge/NOTICE,https://github.com/messense/jieba-rs
unicode-normalization,0.1,MIT OR Apache-2.0,sparkfox,NOTICE,https://github.com/unicode-rs/unicode-normalization
